id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1420627335833915392,1420627335833915392,2021-07-29 08:08:45 Namibia Standard Time,2021-07-29,08:08:45,+0200,1259517745005244420,_ndoniyamanzi,Asifanani,,Definitely standard bank😑,en,[],[],[],0,1,1,[],[],https://twitter.com/_NdoniYamanzi/status/1420627335833915392,False,https://twitter.com/mtshwete/status/1420321342445035522,0,,,,,,,,[],,,,
1420626108719017984,1420626108719017984,2021-07-29 08:03:52 Namibia Standard Time,2021-07-29,08:03:52,+0200,1297865937262174211,bhekala1,Bhekala,,Feature Analyst - Standard Bank - Gauteng  https://t.co/goVwNqWY8q #joblinks #jobs,en,[],['https://jobs.bhekala.co.za/news/feature-analyst-standard-bank-gauteng?uid=119453'],[],0,0,0,"['joblinks', 'jobs']",[],https://twitter.com/Bhekala1/status/1420626108719017984,False,,0,,,,,,,,[],,,,
1420625182604075009,1420625182604075009,2021-07-29 08:00:12 Namibia Standard Time,2021-07-29,08:00:12,+0200,56980888,standardbankza,StandardBankZA,,"Thanks to the Standard Bank Bursary Programme, Olwethu is now a Full Stack Developer. Hear more about his journey here:  https://t.co/4JmiJLouoO  #ItCanBe  https://t.co/eMxcD1sZCl",en,[],['https://bddy.me/2WwtwEC'],['https://pbs.twimg.com/media/E7cTD2IWYAAiyxP.jpg'],0,3,11,['itcanbe'],[],https://twitter.com/StandardBankZA/status/1420625182604075009,False,,1,https://pbs.twimg.com/media/E7cTD2IWYAAiyxP.jpg,,,,,,,[],,,,
1420624313959391232,1420624313959391232,2021-07-29 07:56:45 Namibia Standard Time,2021-07-29,07:56:45,+0200,3298955848,helenapitout,Helena Pitout,,Making the Right Moves with the Standard Bank Business Credit Card  https://t.co/fCY7TjpLk2,en,[],['https://dy.si/qdMo4'],[],0,0,0,[],[],https://twitter.com/HelenaPitout/status/1420624313959391232,False,,0,,,,,,,,[],,,,
1420622921937133568,1420622921937133568,2021-07-29 07:51:13 Namibia Standard Time,2021-07-29,07:51:13,+0200,364523345,jerrybouwer1,MĴay,,#RacialProfiling is so bad for Blacks in this Country!   @FNB @Absa and @StandardBank refuses to give a Black Person a R100 One month Loan .   Even if they know your Salary of R35k goes into that account!    #RacistBanksMustFall,en,"[{'screen_name': 'fnb', 'name': 'contacts nearby', 'id': '10691932'}, {'screen_name': 'absa', 'name': 'absa group', 'id': '2432320914'}, {'screen_name': 'standardbank', 'name': 'standard bank', 'id': '2847860697'}]",[],[],0,0,0,"['racialprofiling', 'racistbanksmustfall']",[],https://twitter.com/JerryBouwer1/status/1420622921937133568,False,,0,,,,,,,,[],,,,
1420611008423415812,1420611008423415812,2021-07-29 07:03:52 Namibia Standard Time,2021-07-29,07:03:52,+0200,1297865937262174211,bhekala1,Bhekala,,Feature Analyst - Standard Bank - Gauteng  https://t.co/aFkNM2xp97 #joblinks #CV,en,[],['https://jobs.bhekala.co.za/news/feature-analyst-standard-bank-gauteng?uid=119433'],[],0,0,0,"['joblinks', 'cv']",[],https://twitter.com/Bhekala1/status/1420611008423415812,False,,0,,,,,,,,[],,,,
1420609650869915648,1420609650869915648,2021-07-29 06:58:29 Namibia Standard Time,2021-07-29,06:58:29,+0200,3030234825,ntateskha,Corporate Rebel,,"Standard Bank has enabled insurance cover and claims capability via its WhatsApp-based chatbot.   This, as the bank reveals the chatbot has garnered interactions with some 300 000 South Africans since its launch last April  https://t.co/wd5YUZti9y",en,[],['https://www.itweb.co.za/content/5yONP7EgbVzqXWrb'],[],0,0,1,[],[],https://twitter.com/NtateSkha/status/1420609650869915648,False,,0,,,,,,,,[],,,,
1420606395997638657,1420592556165976064,2021-07-29 06:45:33 Namibia Standard Time,2021-07-29,06:45:33,+0200,1416849966409072651,tokolos30677865,Tokoloshe,,"@basilmabasa @tito_mboweni Use Standard Bank owned by the China and Afican Bank, VBS and Thyme bank. Stop complaining",en,[],[],[],0,0,0,[],[],https://twitter.com/Tokolos30677865/status/1420606395997638657,False,,0,,,,,,,,"[{'screen_name': 'basilmabasa', 'name': 'The Real Land Owner', 'id': '109226211'}, {'screen_name': 'tito_mboweni', 'name': 'Tito Mboweni', 'id': '855262092'}]",,,,
1420598876046827522,1420281469348585475,2021-07-29 06:15:40 Namibia Standard Time,2021-07-29,06:15:40,+0200,1265264314937757696,lutherkr_,Spuura,,"@HouzKid @AbsaSouthAfrica When you so this, you drive them crazy.  They won't come back. Standard Bank, charged me more than R2 000 in charges because there was no money in my business account for months, during the 1st few months of covid. Unreasonable and insensitive. Racist Banks Must Fall.",en,[],[],[],1,0,0,[],[],https://twitter.com/LutherKR_/status/1420598876046827522,False,,0,,,,,,,,"[{'screen_name': 'HouzKid', 'name': 'Thamsanqa J. Maseko', 'id': '493456544'}, {'screen_name': 'AbsaSouthAfrica', 'name': 'Absa South Africa', 'id': '537072585'}]",,,,
1420582368465719297,1420582368465719297,2021-07-29 05:10:04 Namibia Standard Time,2021-07-29,05:10:04,+0200,2357828917,gtaolover,𝘼𝙎𝙃𝘼𝙄𝙍𝙆 𝙎𝙏𝙍𝙀𝘼𝙈𝙄𝙉𝙂,,【GTAO】パシフィック銀行強盗エリートチャレンジ The Pacific Standard Bank Job Elite Challenge - TestRoute - FINALOOP 【PS4】  https://t.co/5JfZNvyFLc #GTA5,ja,[],['https://youtu.be/EZHUSGyyMDk'],[],0,0,0,['gta5'],[],https://twitter.com/GTAOLOVER/status/1420582368465719297,False,,0,,,,,,,,[],,,,
